subscriber_number,dr_id,transaction_timestamp,transaction_type,transaction_code,transaction_amount,origin_operator_id,service_class,account_flag_before,account_flag_after,account_group_id,dedicated_account_id,dedicated_account_amount,ada_account_expiry_date_after,product_id,package_id,origin_transaction_id_for_ovi_store,origin_operator_id_for_ovi_store,origin_host_name,lifecycle,promo_indicator,ci_channel_id,file_type,debit_amount,balance_after_deduction,success_code,bd_ingestion_timestamp,partition_transaction_date
1E/lRM+T4lTB/971N/fB4w==,NULL,20210712 00:01:57,NULL,NULL,NULL,ZHR-SDP-88A,419,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.02E+34,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_sdp_pam,NULL,NULL,NULL,7/13/2021 1:09,7/12/2021
yLM/ku394jS3XsvJ3HsFvA==,NULL,20210717 10:31:31,STAMPTXADJ,DEB,-0.67,NULL,719,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_serv_fees,0,4.54,1,7/18/2021 1:21,7/17/2021
8ySmk8EywRlta7jz6YdwWQ==,NULL,20210720 10:30:04,STAMPTXADJ,DEB,-0.67,NULL,723,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_serv_fees,0,10.33,1,7/21/2021 1:23,7/20/2021
mNhndwGP5ywX5Z78rRkmzg==,2.11E+36,20210717 00:35:15,DEB,CLR-DA-NOBAL-EXPIRE,NULL,ZHR-SDP-80A,1453,NULL,NULL,NULL,32,0,NULL,NULL,NULL,423090,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/18/2021 1:21,7/17/2021
C9qe2ud+VXX2sU+e6U55Ew==,NULL,20210710 00:37:22,NULL,NULL,NULL,RMD-SDP-83A,1743,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,588757,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_sdp_pam,NULL,NULL,NULL,7/11/2021 1:00,7/10/2021
1E/lRM+T4lTB/971N/fB4w==,2.11E+36,20210702 00:00:33,DEB,CLR-DA-NOBAL-EXPIRE,NULL,ZHR-SDP-88A,419,NULL,NULL,NULL,32,0,NULL,NULL,NULL,2.02E+34,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/3/2021 1:14,7/2/2021
Qnig2waEGtW6FmPUq8bE1w==,3.53E+37,20210717 07:27:11,DEB,MIKE3ALNOTA,NULL,NULL,719,NULL,NULL,0,48,-0.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_bonusadjust,NULL,NULL,NULL,7/18/2021 1:21,7/17/2021
C9qe2ud+VXX2sU+e6U55Ew==,NULL,20210720 00:25:38,NULL,NULL,NULL,RMD-SDP-83A,1743,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.02E+33,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_sdp_pam,NULL,NULL,NULL,7/21/2021 1:23,7/20/2021
L0KukaCxIf6WfOynXo4h7Q==,NULL,20210727 00:34:36,NULL,NULL,NULL,ZHR-SDP-79A,454,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,332307,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_sdp_pam,NULL,NULL,NULL,7/28/2021 19:28,7/27/2021
IaeDjuODU21rvFA355yU9A==,2.11E+36,20210714 00:43:21,DEB,CLR-DA-NOBAL-EXPIRE,NULL,CAI5SDP59A,455,NULL,NULL,NULL,32,0,NULL,NULL,NULL,471551,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/15/2021 1:20,7/14/2021
mNhndwGP5ywX5Z78rRkmzg==,2.11E+36,20210713 00:35:10,DEB,CLR-DA-NOBAL-EXPIRE,NULL,ZHR-SDP-80A,1453,NULL,NULL,NULL,32,0,NULL,NULL,NULL,426380,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/14/2021 1:10,7/13/2021
mNhndwGP5ywX5Z78rRkmzg==,2.11E+36,20210703 00:35:31,DEB,CLR-DA-NOBAL-EXPIRE,NULL,ZHR-SDP-80A,1453,NULL,NULL,NULL,32,0,NULL,NULL,NULL,453644,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/4/2021 1:23,7/3/2021
/G+KCURIm0S20VgnABOL9Q==,NULL,20210728 21:04:46,DEB,ECOFEES,-0.01,Unknown,454,0,0,134217728,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_eon,NULL,NULL,NULL,7/29/2021 13:27,7/28/2021
IaeDjuODU21rvFA355yU9A==,NULL,20210704 00:43:37,NULL,NULL,NULL,CAI5SDP59A,455,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,473327,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_sdp_pam,NULL,NULL,NULL,7/5/2021 1:22,7/4/2021
L0KukaCxIf6WfOynXo4h7Q==,NULL,20210712 15:46:31,DEB,ECOFEES,-0.01,Unknown,454,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_eon,NULL,NULL,NULL,7/13/2021 1:09,7/12/2021
mNhndwGP5ywX5Z78rRkmzg==,NULL,20210718 00:35:13,NULL,NULL,NULL,ZHR-SDP-80A,1453,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,418995,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_sdp_pam,NULL,NULL,NULL,7/19/2021 1:38,7/18/2021
L0KukaCxIf6WfOynXo4h7Q==,NULL,20210722 00:34:35,NULL,NULL,NULL,ZHR-SDP-79A,454,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,332684,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_sdp_pam,NULL,NULL,NULL,7/23/2021 1:17,7/22/2021
mNhndwGP5ywX5Z78rRkmzg==,2.11E+36,20210724 00:25:44,DEB,SET-DA-0-NOBAL-FLAG,NULL,ZHR-SDP-80A,1453,NULL,NULL,NULL,32,0,NULL,NULL,NULL,2.02E+33,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/25/2021 1:12,7/24/2021
Qnig2waEGtW6FmPUq8bE1w==,NULL,20210726 11:48:48,DEB,D-R-MASS-GIFTFEES,0,EXT,719,0,0,0,NULL,NULL,NULL,NULL,NULL,1.10E+26,NULL,CI2,NULL,NULL,NULL,med_adjustments_ppas_air,NULL,NULL,NULL,7/27/2021 2:58,7/26/2021
IaeDjuODU21rvFA355yU9A==,2.11E+36,20210726 00:43:22,DEB,SET-DA-0-NOBAL-FLAG,NULL,CAI5SDP59A,455,NULL,NULL,NULL,32,0,NULL,NULL,NULL,468582,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/27/2021 2:58,7/26/2021
L0KukaCxIf6WfOynXo4h7Q==,2.11E+36,20210721 00:34:35,DEB,CLR-DA-NOBAL-EXPIRE,NULL,ZHR-SDP-79A,454,NULL,NULL,NULL,32,0,NULL,NULL,NULL,334993,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/22/2021 1:16,7/21/2021
C9qe2ud+VXX2sU+e6U55Ew==,2.11E+36,20210721 00:17:38,DEB,7ARAKAT-DAY-1-CLR,NULL,RMD-SDP-83A,1743,NULL,NULL,NULL,9,0,NULL,NULL,NULL,2.02E+33,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/22/2021 1:16,7/21/2021
L0KukaCxIf6WfOynXo4h7Q==,NULL,20210720 06:40:10,DEB,ECOFEES,-0.01,Unknown,454,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_eon,NULL,NULL,NULL,7/21/2021 1:23,7/20/2021
L0KukaCxIf6WfOynXo4h7Q==,NULL,20210723 17:37:47,DEB,ECOFEES,-0.01,Unknown,454,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_eon,NULL,NULL,NULL,7/24/2021 1:20,7/23/2021
L0KukaCxIf6WfOynXo4h7Q==,NULL,20210702 21:12:17,DEB,ECOFEES,-0.01,Unknown,454,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_eon,NULL,NULL,NULL,7/3/2021 1:14,7/2/2021
